"ID","Logo","Name","LegalName","Alias","Websites","LinkedIn","Description","GroupID","Siren","NIC","APE","RCS","Creation_Date","VATNumber","Activity","Status","Legal_Form","Lead_Axis","BM_Axis","Location_Axis","Activity_Axis","Structure_Axis","Market_Axis","Address","Billing_Address","ZipCode","City","Country","Signed_By","CSM_By","Accompanied_by","Current_Location","Contacts","Contract_Date","Contract_Type","Contract_Number","Contract_Rate"
"102","","Influence4You (agence d'influenceurs) et Influence4brands (plate-forme d'influence)","","","","2864315","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"103","","WIZDEO","","","","1174126","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"104","","TF1","","","","6240","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"105","","Sportfive","","","","1048905","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"106","","COSA","","","","990229","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"107","","DAVYTOPIOL","","","","2315182","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"108","","Chambre de Commerce et d'Industrie de Strasbourg et du Bas-Rhin","","","","1161340","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"109","","KPMG France","","","","1848155","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"110","","TECHO | TETO","","","","306939","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"111","","BearingPoint","","","","1349","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"112","","Société Générale","","","","1691","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"113","","Olympic Steel","","","","33810","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"114","","SAP","","","","1115","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"115","","Accenture","","","","1033","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"116","","Capgemini","","","","157240","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"117","","Sefas Innovation","","","","33684","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"118","","Addvisory GROUP","","","","139230","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"119","","Thales Communication & Security","","","","1951","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"120","","Atos Worldline","","","","2611817","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"121","","The Phone House","","","","8548","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"122","","Infineon Technologies","","","","2148","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"123","","THALES UK LIMITED","","","","19889773","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"124","","THALES COMMUNICATIONS & SECURITY SA","","","","22476577","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"125","","Air France","","","","4242","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"126","","VPS Healthcare","","","","5223563","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"127","","Lexicon","","","","571397","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"128","","Doordarshan News","","","","214745","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"129","","Kyriba France","","","","3195190","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"130","","SURFEO","","","","2079524","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"131","","HCL Technologies","","","","1756","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"132","","Amundis","","","","586529","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"133","","Safran","","","","521777","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"134","","PSA Peugeot Citroën","","","","260214","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"135","","medici.tv","","","","2067626","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"136","","LeCab","","","","3042508","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"137","","Louis Vuitton","","","","5790","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"138","","TAGSYS","","","","28584","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"139","","Shoette","","","","1363400","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"140","","Lima Technology","","","","10417071","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"141","","Doctipharma - Lagardère Active","","","","5065449","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
"142","","Serena Capital","","","","486780","","","","","","","1000-01-01","","","0","0","0","","","","","","","","","","0","0","0","","","","1970-01-01","","","0.00"
